common_name,scientific_name,worms_alpha_id,phylum,class,order,family,genus,species,,selenium (mcg),zinc (mg),omega_3 (mg),calcium (mg),iron (mg),vitamin_a (mcg),vitamin D (mcg),D2 ERGCAL(mcg),D3 CHOCAL(mcg),folate (mcg),vitamin_b12 (mg),iodine (mcg)
Saithe,Pollachius virens,126441,Chordata,Actinopteri,Gadiformes,Gadidae,Pollachius,Pollachius virens,,33,0.43,230,7,0.3,4,0,,1.77,5,3.5,111
Shagreen ray,Leucoraja fullonica,105874,Chordata,Elasmobranchii,Rajiformes,Rajidae,Leucoraja,Leucoraja fullonica,,,,,,,,,,,,,
Atlantic Pollock, Pollachius pollachius,126440,Chordata,Actinopteri,Gadiformes,Gadidae,Pollachius,Pollachius pollachius,,25.4,0.401,544,20,0.7,3,0,,,,,
Grey Mullet,Mugil spp.,,Chordata,Actinopteri,Mugiliformes,Mugilidae,Mugil,Mugil spp.,,51,0.4,,27,1,47,,,2.12,,,190
Sardines ,Sardina pilchardus,126421,Chordata,Actinopteri,Clupeiformes,Clupeidae,Sardina,Sardina pilchardus,,51,0.7,1110,50,1.6,10,4,,,7,8.3,79
European seabass,Dicentrarchus labrax,126975,Chordata,Actinopteri,Moroniformes,Moronidae,Dicentrarchus,Dicentrarchus labrax,,29,0.62,1200,14,0.3,34,,,2.31,5,3,8
Squid (general),,,Mollusca,Cephalopoda,,,,,,66,1.1,400,13,0.5,15,0,,,13,3,20
Starry ray,Amblyraja radiata,105865,Chordata,Elasmobranchii,Rajiformes,Rajidae,Amblyraja,Amblyraja radiata,,,,,,,,,,,,,
Spurdog,Squalus acanthias,105923,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,,33.6,0.52,795,13,1.32,239,0.38,,,3.2,1.8,260
European eel,Anguilla anguilla,126281,Chordata,Actinopteri,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,,26.3,2,5240,35,0.35,1800,30,,,14,4.4,25
Flounder,Platichtys flesus,127141,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,Platichtys,Platichtys flesus,,20.4,0.78,531,35,0.3,9,0.8,,,15,3,15.5
Garfish,Belone belone,126375,Chordata,Actinopteri,Beloniformes,Belonidae,Belone,Belone belone,,30.9,0.5,1050,25,0.4,7,5,,,1,2.7,20
Spotted wolffish,Anarhichas minor,126759,Chordata,Actinopteri,Perciformes ,Anarhichadidae ,Anarhichas,Anarhichas minor,,39.4,0.569,1900,35,1,18,1.3,,,1,2.2,60
Flathead grey mullet,Mugil cephalus,126983,Chordata,Actinopteri,Mugiliformes,Mugilidae,Mugil,Mugil cephalus,,51,0.4,500,27,1,7.56,,,2.12,,,190
Ray spp.,Raja spp.,,Chordata,Elasmobranchii,Rajiformes,Rajidae,Raja,Raja spp.,,28,0.41,156,11.8,0.23,2,,,0.35,,1.13,24
Blackbellied angler,Lophius budegassa,,Chordata,Actinopteri,Lophiiformes,Lophiidae,Lophius,Lophius budegassa,,41,0.44,130,1,0.26,27.5,,,0.33,,0.46,41
Black seabream,Spondyliosoma cantharus,127066,Chordata,Actinopteri,Perciformes,Sparidae,Spondyliosoma ,Spondyliosoma cantharus,,20,0.8,1346,100,0.39,1.5,,,0.54,,2.65,31
Gilthead seabream,Sparus aurata,151523,Chordata,Actinopteri,Perciformes,Sparidae,Sparus,Sparus aurata,,7,0.42,1741,7.5,0.46,4.5,,,0.87,,2.93,7
Atlantic halibut,Hippoglossus hippoglossus,127138,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,Hippoglossus ,Hippoglossus hippoglossus,,30,0.44,900,6.3,0.12,7.93,9,,2.1,,,6
Conger eel,Conger conger,126285,Chordata,Actinopteri,Anguilliformes,Congridae,Conger,Conger conger,,39.3,0.278,482,10.9,0.259,8.33,,,,,3,
